Date/Time,Wind Direction [deg],Precipitation [mm],Wind Speed [m/s],HC Air Temperature [aiC],HC Relative Humidity [%],Dew Point [aiC],VPD [mbar],Wind Speed Max [m/s],EAG Soil Moisture [%] 10cm,EAG Soil Moisture [%] 20cm,EAG Soil Moisture [%] 30cm,EAG Soil Moisture [%] 110,EAG Soil Moisture [%] 120cm,Soil Temperature 10cm,Soil Temperature 20cm,Soil Temperature 30cm
18/09/2017 13:00,316,0,4.8,19.16,34.05,2.8,14.6,9.9,50.55,53.54,52.65,62.47,63.94,13.7,11,10.4
18/09/2017 14:00,312,0,4.9,19.05,35.4,3.3,14.2,10.9,50.49,53.26,52.29,62.26,63.72,12.6,9.3,8.8
18/09/2017 15:00,310,0,3.9,18.97,36,3.5,14,9.2,50.49,53.34,52.3,62.23,63.71,12.2,9.5,8.8
18/09/2017 16:00,288,0,4.1,19.13,34.94,3.2,14.3,8.9,50.37,53.42,52.35,62.2,63.7,12,9.7,8.9
18/09/2017 17:00,247,0,3.8,16.04,50.37,5.2,9.3,8.2,49.98,53.47,52.42,62.19,63.69,11.8,9.9,9
18/09/2017 18:00,270,3.2,2.9,10.57,86.69,8.3,1.7,11,50.34,53.54,52.5,62.17,63.68,10.5,9.9,9.3
18/09/2017 19:00,287,0,1.5,9.33,89.24,7.6,1.2,3.9,50.74,53.55,52.54,62.16,63.69,9.8,9.8,9.4
18/09/2017 20:00,270,0,2.7,9.56,86.07,7.3,1.6,5.5,50.6,53.53,52.54,62.17,63.68,9.4,9.7,9.4
18/09/2017 21:00,257,0,3.1,8.55,83.06,5.8,1.8,6.4,50.41,53.53,52.54,62.17,63.69,9,9.6,9.4
18/09/2017 22:00,253,0,3.1,7.56,83.12,4.8,1.7,7.5,49.74,53.53,52.52,62.17,63.7,8.4,9.4,9.4
18/09/2017 23:00,257,0,3.2,7.75,83.13,5,1.7,7.2,48.83,53.5,52.5,62.17,63.7,7.9,9.2,9.4
19/09/2017 0:00,258,0,1.8,6.65,87.08,4.6,1.2,3.5,48.01,53.44,52.5,62.18,63.7,7.7,9,9.3
19/09/2017 1:00,255,0,1.4,6.44,87.34,4.4,1.1,3.8,47.1,53.41,52.52,62.18,63.71,7.3,8.7,9.2
19/09/2017 2:00,280,0,0.7,5.69,90.49,4.2,0.8,1.9,46.21,53.36,52.53,62.19,63.71,7.2,8.7,9.1
